config,workload,status,model,max_model_len,max_num_seqs,kv_cache_dtype,gpu_mem_util,spec,num_spec_tokens,prefix_caching,input_len,output_len,num_prompts,concurrency,completed,failed,duration_s,output_tok_s,total_tok_s,req_s,max_output_tok_s,mean_ttft_ms,p50_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2el_ms,spec_accept_rate,spec_accept_len,spec_pos0,spec_pos1,spec_pos2,spec_pos3,server_model_load_gib,server_model_load_s,server_kv_cache_gib,server_kv_cache_tokens,server_max_concurrency_x,mem_base_mb,mem_ready_mb,mem_peak_mb,mem_mean_mb,wall_s
bf16_spec_off,single_stream,ok,bf16,32768,32,auto,0.7,off,0,False,512,1024,3,1,3,0,813.9,3.77,5.86,0.0037,5.0,597.9,612.9,627.5,264.63,264.99,264.98,271315.1,0,0,,,,,50.22,293.67422,29.78,452926,13.82,5033,91339,92273,92196,1635.3
bf16_spec_off,batch8_balanced,ok,bf16,32768,32,auto,0.7,off,0,False,1024,1024,16,8,16,0,596.2,27.48,56.37,0.0268,32.0,5516.8,5752.0,8323.2,285.73,289.04,285.81,297813.6,0,0,,,,,50.22,293.67422,29.78,452926,13.82,5033,91339,92786,92716,883.3
bf16_spec_off,codegen_decode,ok,bf16,32768,32,auto,0.7,off,0,False,1024,4096,8,8,8,0,1187.0,27.61,34.86,0.0067,32.0,6216.0,6807.0,8413.0,288.24,289.13,288.4,1186564.5,0,0,,,,,50.22,293.67422,29.78,452926,13.82,5033,91339,92839,92784,2311.0
bf16_spec_off,saturate32,ok,bf16,32768,32,auto,0.7,off,0,False,1024,1024,64,32,64,0,805.0,81.41,166.99,0.0795,97.0,13333.5,8503.0,34762.2,379.27,388.76,379.62,401323.5,0,0,,,,,50.22,293.67422,29.78,452926,13.82,5033,91339,92936,92854,1092.3
bf16_spec_2,single_stream,ok,bf16,32768,32,auto,0.7,mtp2,2,False,512,1024,3,1,3,0,459.1,6.69,10.38,0.0065,4.0,829.0,920.3,946.0,148.78,168.32,316.64,153028.2,56.1161,2.122,0.6551,0.4672,,,51.02,332.289567,28.2,355860,10.86,5067,92934,94142,93949,909.1
bf16_spec_2,batch8_balanced,ok,bf16,32768,32,auto,0.7,mtp2,2,False,1024,1024,16,8,16,0,377.0,43.46,89.14,0.0424,25.0,5494.8,2910.3,11930.4,158.48,191.15,365.62,167623.6,65.6899,2.314,0.7472,0.5666,,,51.02,332.289567,28.2,355860,10.86,5067,92934,94534,94325,547.1
bf16_spec_2,codegen_decode,ok,bf16,32768,32,auto,0.7,mtp2,2,False,1024,4096,8,8,8,0,686.1,47.76,60.31,0.0117,25.0,7067.8,7571.2,9138.9,149.59,166.61,367.15,619620.1,72.6259,2.453,0.7981,0.6544,,,51.02,332.289567,28.2,355860,10.86,5067,92934,94836,94119,1359.8
bf16_spec_2,saturate32,ok,bf16,32768,32,auto,0.7,mtp2,2,False,1024,1024,64,32,64,0,602.5,108.77,223.1,0.1062,66.0,11883.5,4746.2,36823.0,245.63,345.39,568.35,263158.3,66.0263,2.321,0.7389,0.5816,,,51.02,332.289567,28.2,355860,10.86,5067,92934,94727,94561,761.8
bf16_spec_3,single_stream,ok,bf16,32768,32,auto,0.7,mtp3,3,False,512,1024,3,1,3,0,413.4,7.43,11.53,0.0073,4.0,799.1,721.2,1009.4,133.93,147.55,337.75,137811.3,51.0159,2.53,0.7002,0.4761,0.3542,,51.02,327.830428,30.52,363539,11.09,5583,93631,94748,94675,828.6
bf16_spec_3,batch8_balanced,ok,bf16,32768,32,auto,0.7,mtp3,3,False,1024,1024,16,8,16,0,379.4,43.19,88.59,0.0422,25.0,4475.6,2690.9,9113.7,147.88,188.24,391.61,155760.7,55.2528,2.658,0.7195,0.5343,0.4037,,51.02,327.830428,30.52,363539,11.09,5583,93631,95386,95258,551.6
bf16_spec_3,codegen_decode,ok,bf16,32768,32,auto,0.7,mtp3,3,False,1024,4096,8,8,8,0,645.8,50.74,64.08,0.0124,26.0,7208.4,7741.5,9346.0,132.54,156.36,357.28,549956.1,56.3465,2.69,0.7394,0.5456,0.4053,,51.02,327.830428,30.52,363539,11.09,5583,93631,95721,94960,1138.4
bf16_spec_3,saturate32,ok,bf16,32768,32,auto,0.7,mtp3,3,False,1024,1024,64,32,64,0,491.3,133.38,273.58,0.1303,93.0,10304.0,3577.4,32245.6,191.89,289.43,540.17,206604.4,60.8248,2.825,0.7536,0.5875,0.4836,,51.02,327.830428,30.52,363539,11.09,5583,93631,94780,94650,632.0
bf16_spec_4,single_stream,ok,bf16,32768,32,auto,0.7,mtp4,4,False,512,1024,3,1,3,0,358.6,8.57,13.29,0.0084,4.0,857.8,868.4,870.5,116.02,128.6,312.62,119548.4,42.6056,2.704,0.7139,0.4472,0.3195,0.2236,51.02,385.836151,28.04,309540,9.45,4024,91832,93240,93050,714.6
bf16_spec_4,batch8_balanced,ok,bf16,32768,32,auto,0.7,mtp4,4,False,1024,1024,16,8,16,0,309.5,52.93,108.57,0.0517,25.0,4048.1,2953.5,7973.7,119.61,170.34,358.12,126414.2,50.1284,3.005,0.7137,0.5342,0.4161,0.3411,51.02,385.836151,28.04,309540,9.45,4024,91832,93485,93091,473.7
bf16_spec_4,codegen_decode,ok,bf16,32768,32,auto,0.7,mtp4,4,False,1024,4096,8,8,8,0,629.8,52.03,65.7,0.0127,24.0,6147.7,6601.0,7968.8,128.33,151.15,359.33,531665.6,44.9628,2.799,0.6982,0.4922,0.3494,0.2586,51.02,385.836151,28.04,309540,9.45,4024,91832,93893,93533,1185.5
bf16_spec_4,saturate32,ok,bf16,32768,32,auto,0.7,mtp4,4,False,1024,1024,64,32,64,0,554.6,118.17,242.39,0.1154,91.0,19016.2,16398.3,79632.9,197.14,307.8,583.05,220686.8,49.2436,2.97,0.7066,0.5203,0.4061,0.3367,51.02,385.836151,28.04,309540,9.45,4024,91832,95049,94488,720.3
fp8_spec_4,saturate32,ok,fp8,32768,32,fp8,0.65,mtp4,4,False,1024,1024,64,32,64,0,368.8,177.71,364.5,0.1735,98.0,7519.2,2969.2,24121.4,136.6,247.67,400.08,147260.2,48.425,2.937,0.7003,0.5088,0.3977,0.3302,28.08,178.384107,45.9,796444,24.31,4060,85877,89666,89176,468.1
