config,workload,status,model,max_model_len,max_num_seqs,kv_cache_dtype,gpu_mem_util,spec,num_spec_tokens,prefix_caching,input_len,output_len,num_prompts,concurrency,completed,failed,duration_s,output_tok_s,total_tok_s,req_s,max_output_tok_s,mean_ttft_ms,p50_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2el_ms,spec_accept_rate,spec_accept_len,spec_pos0,spec_pos1,spec_pos2,spec_pos3,server_model_load_gib,server_model_load_s,server_kv_cache_gib,server_kv_cache_tokens,server_max_concurrency_x,mem_base_mb,mem_ready_mb,mem_peak_mb,mem_mean_mb,wall_s
backend_auto,single_stream,ok,fp8,262144,16,fp8,0.4,off,0,False,512,1024,3,1,3,0,54.7,56.17,84.7,0.0549,57.0,141.2,148.8,149.9,17.68,17.68,18.03,18228.6,0,0,,,,,29.1,202.257171,17.1,373584,1.43,8264,60691,61570,61497,115.3
backend_auto,batch8_balanced,ok,fp8,262144,16,fp8,0.4,off,0,False,1024,1024,16,8,16,0,105.9,154.69,310.58,0.1511,200.0,850.6,746.5,1604.2,50.9,51.61,51.73,52918.7,0,0,,,,,29.1,202.257171,17.1,373584,1.43,8264,60691,61619,61570,151.1
backend_triton,single_stream,ok,fp8,262144,16,fp8,0.4,off,0,False,512,1024,3,1,3,0,54.8,56.08,84.56,0.0548,57.0,139.7,147.5,148.5,17.71,17.72,18.06,18259.9,0,0,,,,,29.1,238.763792,16.65,363616,1.39,8280,60223,61153,61063,115.4
backend_triton,batch8_balanced,ok,fp8,262144,16,fp8,0.4,off,0,False,1024,1024,16,8,16,0,106.0,154.57,310.35,0.1509,208.0,848.8,745.0,1601.3,50.94,51.7,52.22,52957.7,0,0,,,,,29.1,238.763792,16.65,363616,1.39,8280,60223,61198,61143,151.3
kv_auto,-,server_unhealthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,192.220496,17.03,,,8251,8336,,,
