config,workload,status,model,max_model_len,max_num_seqs,kv_cache_dtype,gpu_mem_util,spec,num_spec_tokens,prefix_caching,input_len,output_len,num_prompts,concurrency,completed,failed,duration_s,output_tok_s,total_tok_s,req_s,max_output_tok_s,mean_ttft_ms,p50_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2el_ms,spec_accept_rate,spec_accept_len,spec_pos0,spec_pos1,spec_pos2,spec_pos3,server_model_load_gib,server_model_load_s,server_kv_cache_gib,server_kv_cache_tokens,server_max_concurrency_x,mem_base_mb,mem_ready_mb,mem_peak_mb,mem_mean_mb,wall_s
prefix_off,agent_turn_solo,ok,fp8,65536,32,fp8,0.65,mtp2,2,False,300,400,20,1,20,0,636.7,12.16,211.94,0.0314,8.0,3734.7,3735.7,3786.1,73.86,90.69,160.93,31833.6,61.4631,2.229,0.7131,0.5161,,,28.08,188.083877,48.43,1222901,18.66,3107,87370,89776,89711,725.8
prefix_off,agent_turn_parallel,ok,fp8,65536,32,fp8,0.65,mtp2,2,False,300,400,40,8,40,0,315.4,52.05,857.35,0.1268,48.0,7261.4,4075.7,28048.7,129.55,183.85,276.25,59769.2,58.4942,2.17,0.6884,0.4815,,,28.08,188.083877,48.43,1222901,18.66,3107,87370,89822,89792,365.6
prefix_on,agent_turn_solo,ok,fp8,65536,32,fp8,0.65,mtp2,2,True,300,400,20,1,20,0,638.7,12.12,211.26,0.0313,7.0,2423.1,2815.1,2972.6,76.95,94.27,168.4,31935.7,64.2543,2.285,0.7363,0.5488,,,28.08,194.57,45.81,1090617,16.64,,,,,
prefix_on,agent_turn_parallel,ok,fp8,65536,32,fp8,0.65,mtp2,2,True,300,400,40,8,40,0,258.5,63.52,1046.14,0.1547,49.0,4138.8,2984.9,11034.8,110.47,139.41,244.71,49232.1,61.9135,2.238,0.7145,0.5237,,,28.08,194.57,45.81,1090617,16.64,,,,,
