config,workload,status,model,max_model_len,max_num_seqs,kv_cache_dtype,gpu_mem_util,spec,num_spec_tokens,prefix_caching,input_len,output_len,num_prompts,concurrency,completed,failed,duration_s,output_tok_s,total_tok_s,req_s,max_output_tok_s,mean_ttft_ms,p50_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2el_ms,spec_accept_rate,spec_accept_len,spec_pos0,spec_pos1,spec_pos2,spec_pos3,server_model_load_gib,server_model_load_s,server_kv_cache_gib,server_kv_cache_tokens,server_max_concurrency_x,mem_base_mb,mem_ready_mb,mem_peak_mb,mem_mean_mb,wall_s
backend_auto,single_stream,ok,fp8,65536,32,fp8,0.65,mtp2,2,False,512,1024,3,1,3,0,253.2,12.13,18.82,0.0118,7.0,574.6,604.9,606.8,81.95,88.68,161.74,84411.3,48.8731,1.977,0.6169,0.3606,,,28.08,156.867639,48.41,1222901,18.66,3174,87487,89440,89390,504.6
backend_auto,batch8_balanced,ok,fp8,65536,32,fp8,0.65,mtp2,2,False,1024,1024,16,8,16,0,192.0,85.33,175.04,0.0833,50.0,2670.2,1581.0,5039.8,80.03,108.68,182.68,84543.0,64.4244,2.288,0.7245,0.564,,,28.08,156.867639,48.41,1222901,18.66,3174,87487,89872,89805,287.4
backend_triton,single_stream,ok,fp8,65536,32,fp8,0.65,mtp2,2,False,512,1024,3,1,3,0,231.2,13.29,20.62,0.013,7.0,579.2,609.1,613.1,74.75,79.39,162.13,77050.0,58.4393,2.169,0.6864,0.4823,,,28.08,197.287987,45.88,1158676,17.68,3143,85315,87258,87042,470.1
backend_triton,batch8_balanced,ok,fp8,65536,32,fp8,0.65,mtp2,2,False,1024,1024,16,8,16,0,208.0,78.75,161.54,0.0769,49.0,4230.5,1928.3,9314.8,80.38,108.77,184.39,86455.5,65.0492,2.301,0.7287,0.5723,,,28.08,197.287987,45.88,1158676,17.68,3143,85315,87712,87481,290.1
