config,workload,status,model,max_model_len,max_num_seqs,kv_cache_dtype,gpu_mem_util,spec,num_spec_tokens,prefix_caching,input_len,output_len,num_prompts,concurrency,completed,failed,duration_s,output_tok_s,total_tok_s,req_s,max_output_tok_s,mean_ttft_ms,p50_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2el_ms,spec_accept_rate,spec_accept_len,spec_pos0,spec_pos1,spec_pos2,spec_pos3,server_model_load_gib,server_model_load_s,server_kv_cache_gib,server_kv_cache_tokens,server_max_concurrency_x,mem_base_mb,mem_ready_mb,mem_peak_mb,mem_mean_mb,wall_s
prod_mtp2,single_stream,ok,fp8,65536,32,fp8,0.65,mtp2,2,False,512,1024,3,1,3,0,235.8,13.03,20.21,0.0127,7.0,577.6,608.9,610.9,76.27,79.96,160.77,78606.9,55.6435,2.113,0.6566,0.4563,,,28.08,154.467545,46.65,1178337,17.98,4119,85990,87556,87504,480.2
prod_mtp2,batch8_balanced,ok,fp8,65536,32,fp8,0.65,mtp2,2,False,1024,1024,16,8,16,0,192.4,85.14,174.63,0.0831,48.0,4188.0,1937.3,9415.8,79.92,100.19,183.94,85947.4,65.1413,2.303,0.7426,0.5602,,,28.08,154.467545,46.65,1178337,17.98,4119,85990,88400,88014,277.7
prod_mtp2,codegen_decode,ok,fp8,65536,32,fp8,0.65,mtp2,2,False,1024,4096,8,8,8,0,346.8,94.48,119.3,0.0231,48.0,4887.3,5253.5,6555.3,72.29,83.11,178.6,300916.9,73.5913,2.472,0.8123,0.6595,,,28.08,154.467545,46.65,1178337,17.98,4119,85990,87952,87936,660.0
prod_mtp2,saturate32,ok,fp8,65536,32,fp8,0.65,mtp2,2,False,1024,1024,64,32,64,0,313.4,209.1,428.9,0.2042,130.0,6822.9,3754.4,21384.6,127.91,198.72,297.11,137678.0,66.3896,2.328,0.7489,0.5789,,,28.08,154.467545,46.65,1178337,17.98,4119,85990,88005,87984,401.5
prod_mtp3,single_stream,ok,fp8,65536,32,fp8,0.65,mtp3,3,False,512,1024,3,1,3,0,212.9,14.43,22.39,0.0141,6.0,604.0,634.5,646.9,68.78,74.49,178.44,70970.2,53.4463,2.603,0.7059,0.4958,0.4017,,28.08,191.675928,45.74,1089381,16.62,3082,85081,87008,86929,453.6
prod_mtp3,batch8_balanced,ok,fp8,65536,32,fp8,0.65,mtp3,3,False,1024,1024,16,8,16,0,189.4,86.51,177.44,0.0845,48.0,3094.4,1829.1,6648.7,77.05,92.11,202.98,81915.9,54.5542,2.637,0.7131,0.5232,0.4004,,28.08,191.675928,45.74,1089381,16.62,3082,85081,87879,87352,294.1
prod_mtp3,codegen_decode,ok,fp8,65536,32,fp8,0.65,mtp3,3,False,1024,4096,8,8,8,0,375.4,87.29,110.23,0.0213,48.0,4928.2,5292.0,6645.0,71.01,89.43,198.31,295731.2,59.6996,2.791,0.7601,0.5736,0.4573,,28.08,191.675928,45.74,1089381,16.62,3082,85081,87418,87406,703.0
prod_mtp3,saturate32,ok,fp8,65536,32,fp8,0.65,mtp3,3,False,1024,1024,64,32,64,0,311.8,210.21,431.17,0.2053,129.0,6775.9,2731.7,20605.3,118.06,177.55,332.13,127546.5,60.7845,2.824,0.7483,0.5889,0.4863,,28.08,191.675928,45.74,1089381,16.62,3082,85081,87857,87726,402.5
