config,workload,status,model,max_model_len,max_num_seqs,kv_cache_dtype,gpu_mem_util,spec,num_spec_tokens,prefix_caching,input_len,output_len,num_prompts,concurrency,completed,failed,duration_s,output_tok_s,total_tok_s,req_s,max_output_tok_s,mean_ttft_ms,p50_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2el_ms,spec_accept_rate,spec_accept_len,spec_pos0,spec_pos1,spec_pos2,spec_pos3,server_model_load_gib,server_model_load_s,server_kv_cache_gib,server_kv_cache_tokens,server_max_concurrency_x,mem_base_mb,mem_ready_mb,mem_peak_mb,mem_mean_mb,wall_s
kv_auto,single_stream,ok,default,65536,8,auto,0.85,off,0,False,512,1024,3,1,3,0,13.9,11.19,121.32,0.2151,38.0,341.7,351.7,356.3,96.74,136.04,28.22,4648.6,0,0,,,,,66.14,417.365397,34.55,973874,14.86,2988,111538,112548,112410,35.1
kv_auto,batch8_balanced,ok,default,65536,8,auto,0.85,off,0,False,1024,1024,16,8,16,0,27.2,30.75,634.02,0.5891,144.0,1005.4,711.2,2147.3,210.55,419.58,70.04,10819.0,0,0,,,,,66.14,417.365397,34.55,973874,14.86,2988,111538,112701,112582,42.0
kv_auto,codegen_decode,ok,default,65536,8,auto,0.85,off,0,False,1024,4096,8,8,8,0,10.7,30.9,793.43,0.7447,144.0,1498.7,1583.9,2205.5,177.67,197.99,66.72,8706.7,0,0,,,,,66.14,417.365397,34.55,973874,14.86,2988,111538,112716,112556,25.3
kv_fp8,single_stream,ok,default,65536,8,fp8,0.85,off,0,False,512,1024,3,1,3,0,10.4,10.14,158.44,0.2897,37.0,343.6,357.9,359.5,95.92,117.44,28.63,3452.0,0,0,,,,,66.14,491.85958,33.81,1905746,29.08,2942,111641,112810,112588,30.5
kv_fp8,batch8_balanced,ok,default,65536,8,fp8,0.85,off,0,False,1024,1024,16,8,16,0,24.8,33.56,694.52,0.6455,144.0,978.5,533.7,2181.8,249.8,516.27,71.77,11193.1,0,0,,,,,66.14,491.85958,33.81,1905746,29.08,2942,111641,112722,112601,39.9
kv_fp8,codegen_decode,ok,default,65536,8,fp8,0.85,off,0,False,1024,4096,8,8,8,0,12.6,35.52,687.9,0.6371,142.0,1498.9,1580.8,2215.1,164.34,189.02,63.61,9837.6,0,0,,,,,66.14,491.85958,33.81,1905746,29.08,2942,111641,112735,112587,27.2
