config,workload,status,model,max_model_len,max_num_seqs,kv_cache_dtype,gpu_mem_util,spec,num_spec_tokens,prefix_caching,input_len,output_len,num_prompts,concurrency,completed,failed,duration_s,output_tok_s,total_tok_s,req_s,max_output_tok_s,mean_ttft_ms,p50_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2el_ms,spec_accept_rate,spec_accept_len,spec_pos0,spec_pos1,spec_pos2,spec_pos3,server_model_load_gib,server_model_load_s,server_kv_cache_gib,server_kv_cache_tokens,server_max_concurrency_x,mem_base_mb,mem_ready_mb,mem_peak_mb,mem_mean_mb,wall_s
prod_mtp2,single_stream,ok,fp8,65536,32,fp8,0.65,mtp2,2,False,512,1024,3,1,3,0,232.0,13.24,20.54,0.0129,7.0,577.6,605.0,614.2,75.04,79.8,161.85,77348.1,57.9817,2.16,0.6828,0.4768,,,28.08,156.812373,48.22,1217658,18.58,3096,87441,89247,89177,461.4
prod_mtp2,saturate32,ok,fp8,65536,32,fp8,0.65,mtp2,2,False,1024,1024,64,32,64,0,323.4,202.64,415.63,0.1979,129.0,6833.8,2418.6,21609.0,128.83,174.86,296.42,138622.0,65.3858,2.308,0.7411,0.5666,,,28.08,156.812373,48.22,1217658,18.58,3096,87441,89637,89578,414.8
prod_seqs48,single_stream,ok,fp8,65536,48,fp8,0.65,mtp2,2,False,512,1024,3,1,3,0,231.7,13.26,20.57,0.0129,7.0,577.8,608.0,615.1,74.93,76.22,161.61,77233.5,58.0169,2.16,0.6955,0.4648,,,28.08,190.632508,45.71,1154744,17.62,3106,85408,87345,87210,470.7
prod_seqs48,saturate48,ok,fp8,65536,48,fp8,0.65,mtp2,2,False,1024,1024,96,48,96,0,399.1,246.32,505.25,0.2406,169.0,11143.2,4759.7,34285.1,162.08,246.79,376.43,176952.2,66.44,2.329,0.7486,0.5802,,,28.08,190.632508,45.71,1154744,17.62,3106,85408,88819,88431,489.9
prod_seqs64,single_stream,ok,fp8,65536,64,fp8,0.65,mtp2,2,False,512,1024,3,1,3,0,241.8,12.7,19.71,0.0124,7.0,577.1,605.5,612.6,78.23,82.22,162.0,80604.5,53.7863,2.076,0.6518,0.4239,,,28.08,,45.83,1157365,17.66,,,,,
prod_seqs64,saturate64,ok,fp8,65536,64,fp8,0.65,mtp2,2,False,1024,1024,128,64,128,0,459.1,285.47,585.54,0.2788,194.0,13773.7,4900.4,46368.7,190.45,281.34,453.9,208605.3,69.5116,2.39,0.7702,0.62,,,28.08,,45.83,1157365,17.66,,,,,
