config,workload,status,model,max_model_len,max_num_seqs,kv_cache_dtype,gpu_mem_util,spec,num_spec_tokens,prefix_caching,input_len,output_len,num_prompts,concurrency,completed,failed,duration_s,output_tok_s,total_tok_s,req_s,max_output_tok_s,mean_ttft_ms,p50_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2el_ms,spec_accept_rate,spec_accept_len,spec_pos0,spec_pos1,spec_pos2,spec_pos3,server_model_load_gib,server_model_load_s,server_kv_cache_gib,server_kv_cache_tokens,server_max_concurrency_x,mem_base_mb,mem_ready_mb,mem_peak_mb,mem_mean_mb,wall_s
backend_auto,single_stream,ok,default,65536,8,auto,0.85,off,0,False,512,1024,3,1,3,0,13.3,10.52,125.9,0.2253,38.0,347.1,359.0,367.7,93.13,137.7,27.96,4437.1,0,0,,,,,66.14,470.092023,35.36,996617,15.21,3053,112655,113393,113268,33.2
backend_auto,batch8_balanced,ok,default,65536,8,auto,0.85,off,0,False,1024,1024,16,8,16,0,24.9,31.03,689.52,0.6431,136.0,990.8,703.1,2149.6,241.35,389.23,70.41,10392.5,0,0,,,,,66.14,470.092023,35.36,996617,15.21,3053,112655,114026,113811,39.7
backend_flashinfer_cutlass,-,server_unhealthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3314,3409,,,
backend_marlin,single_stream,ok,default,65536,8,auto,0.85,off,0,False,512,1024,3,1,3,0,11.0,11.95,152.08,0.2737,37.0,347.5,357.1,368.1,82.91,113.76,28.44,3653.3,0,0,,,,,66.14,453.65027,34.69,977574,14.92,3418,112584,113787,113447,32.0
backend_marlin,batch8_balanced,ok,default,65536,8,auto,0.85,off,0,False,1024,1024,16,8,16,0,23.2,33.43,740.18,0.6902,138.0,994.7,706.4,2150.3,212.11,334.66,73.83,10551.3,0,0,,,,,66.14,453.65027,34.69,977574,14.92,3418,112584,113675,113556,36.8
backend_marlin_triton_attn,single_stream,ok,default,65536,8,auto,0.85,off,0,False,512,1024,3,1,3,0,10.1,11.6,163.9,0.2975,38.0,320.8,330.8,335.3,80.94,94.46,28.8,3361.5,0,0,,,,,66.14,404.494669,32.43,914066,13.95,2867,111228,112204,112027,31.2
backend_marlin_triton_attn,batch8_balanced,ok,default,65536,8,auto,0.85,off,0,False,1024,1024,16,8,16,0,25.5,28.61,669.89,0.6263,138.0,993.9,774.2,2145.1,228.03,345.22,69.25,10193.9,0,0,,,,,66.14,404.494669,32.43,914066,13.95,2867,111228,112486,112308,39.5
